"","country","case","rate","arate","Code","meat","GDP","region"
"5","Argentina",133420,290,215.8,"ARG",115.47999,26300.273,"South America"
"10","Bahamas",955,238.4,192.7,"BHS",111.89726,29340.473,"North America"
"13","Barbados",1120,388.9,205.3,"BRB",86.37877,15683.885,"North America"
"16","Belize",409,99.2,114.7,"BLZ",56.619007,11677.461,"North America"
"19","Bolivia",17579,146.6,143.8,"BOL",78.36997,9454.198,"South America"
"21","Brazil",627193,291.2,214.4,"BRA",98.84,18075.705,"South America"
"27","Canada",292098,760.9,345.9,"CAN",86.85,55781.7,"North America"
"31","Chile",59876,311,188.7,"CHL",97.78003,29105.102,"South America"
"33","Colombia",117620,228.3,177.6,"COL",60.94,17700.06,"South America"
"35","Costa Rica",13325,257.1,177.7,"CRI",62.17001,24140.434,"North America"
"40","Dominican Republic",20171,182.4,167,"DOM",53.529984,21912.26,"North America"
"41","Ecuador",30888,170.5,152.7,"ECU",50.91001,13539.711,"South America"
"43","El Salvador",9799,149.6,127.1,"SLV",43.850033,10809.714,"North America"
"56","Guatemala",17801,95.8,121.8,"GTM",42.089993,11828.33,"North America"
"59","Guyana",1225,154.3,142.5,"GUY",72.41991,22865.932,"South America"
"60","Haiti",13860,118.7,141.1,"HTI",21.54999,3134.9502,"North America"
"61","Honduras",10815,105.8,128,"HND",38.750015,6202.981,"North America"
"71","Jamaica",7500,251.3,199.6,"JAM",63.409977,9577.164,"North America"
"94","Mexico",207154,157.5,140.9,"MEX",75.42,21031.709,"North America"
"105","Nicaragua",8409,124,133.5,"NIC",31.529974,7086.6226,"North America"
"112","Panama",8353,187.8,154.9,"PAN",85.040115,30932.764,"North America"
"114","Paraguay",13783,188.7,192.2,"PRY",36.439987,15406.167,"South America"
"115","Peru",72827,216.2,173.8,"PER",54.010006,15282.273,"South America"
"123","Saint Lucia",448,242,166.8,"LCA",89.603516,19101.166,"North America"
"137","Suriname",1119,187.5,169.5,"SUR",60.7901,18458.234,"South America"
"145","Trinidad and Tobago",3931,279.5,186.7,"TTO",58.49958,30826.209,"North America"
"153","United States",2380189,710.9,367,"USA",126.83,71318.305,"North America"
"154","Uruguay",16817,481,279.9,"URY",62.76991,29441.477,"South America"
