id,sentence
1,Il gatto salta sul tavolo.
2,Nonostante la pioggia incessante, decidemmo comunque di uscire per una passeggiata nel parco.
3,Wow!
4,Egli, con estrema cautela, aprì la porta: la stanza era buia...
5,- Vieni qui! - gridò il ragazzo.
6,Andiamo.
7,Il codice è: 1234.
8,Questa frase è lunga, complessa e articolata; presenta una struttura sintattica che richiede un'analisi più approfondita.
9,Cosa?
10,Semplice.
11,Una frase con molte parole ma nessuna punteggiatura significativa potrebbe non sembrare troppo complessa
12,L'uso dei due punti: rende il testo più strutturato.
13,1234
14,@$%&!
15,  
16,
